implicit,explicit,raceomb,sex,politics,year,age,education
1.013017962,4.5,6,f,3,2012,21,6
0.438193056,5,6,f,4,2010,17,3
0.715222766,5,NA,m,NA,2009,28,NA
-0.015030119,4,6,f,4,2013,25,7
0.560251488,3.5,NA,f,4,2014,19,7
0.425197048,4.5,6,m,2,2007,23,8
0.719349198,4,3,f,4,2015,18,5
0.356468059,4.5,6,f,4,2010,22,6
0.539420333,5,6,m,2,2015,50,7
0.158874823,3,2,m,4,2010,15,3
-0.044349605,4,8,f,2,2011,36,9
-0.662228569,3,6,f,3,2010,23,8
-0.857992485,4,6,f,6,2007,33,10
0.462188996,5.5,6,m,1,2015,19,4
-0.268833253,6,NA,.,NA,2015,NA,NA
0.63720146,5,6,f,2,2008,19,6
0.819871155,6,6,m,1,2013,22,7
0.156559497,5.5,6,f,5,2011,21,5
0.835422189,6.5,6,.,4,2014,39,5
-0.290234136,6,6,f,1,2015,21,5
-0.582667425,4,2,f,NA,2010,21,7
0.660903826,6.5,2,m,6,2011,23,5
0.767125207,4,6,f,6,2011,32,9
0.017096164,4,6,f,3,2007,25,7
0.558752849,6,6,f,2,2010,21,5
1.130924661,6,6,f,2,2009,72,9
0.345552999,4.5,5,f,6,2015,19,5
0.239910714,4.5,8,m,5,2011,20,5
0.059897908,4,6,f,5,2011,18,5
0.624033508,5.5,9,m,7,2014,30,7
0.079397443,4,6,f,3,2008,15,3
0.027435225,5,6,f,4,2015,17,3
0.601300457,4,6,m,6,2014,32,5
0.161719842,6,9,f,7,2007,32,6
0.799604621,6,6,f,6,2011,23,7
0.057371228,4,6,m,4,2010,18,3
0.563893377,4,6,f,6,2012,28,9
0.03529556,4.5,3,m,5,2015,46,10
0.7294242,5.5,6,f,NA,2015,29,9
0.072466276,4.5,6,f,4,2012,19,5
0.165765199,4.5,8,m,5,2009,19,5
-0.264937157,3.5,NA,.,NA,2010,NA,NA
0.941372669,6,6,f,4,2011,21,5
0.421970959,3,6,f,4,2012,22,7
0.097428731,4.5,6,f,6,2011,19,7
0.599633321,4.5,6,f,6,2011,19,7
0.216392133,4,6,m,6,2014,18,4
-0.867538215,7,5,f,4,2012,22,6
0.124026027,5,7,m,7,2011,17,3
0.377696891,6,6,m,5,2009,25,8
0.496147183,4.5,6,f,7,2015,17,3
0.925139202,4,6,f,6,2015,28,7
0.118241947,4.5,NA,.,NA,2015,NA,NA
0.432815677,5,6,f,4,2012,25,5
-0.213579817,5.5,9,f,4,2009,30,5
0.60480793,4,6,f,4,2009,21,5
0.433666512,6,5,f,4,2009,35,5
0.131060111,5,6,m,6,2015,33,7
0.695155813,4.5,6,f,4,2007,19,4
0.676951424,6.5,NA,.,NA,2013,NA,NA
0.365002874,4.5,9,m,5,2015,21,5
0.00293701,4,6,m,4,2015,NA,NA
-0.253909516,4,9,m,4,2015,29,6
0.271646269,5,2,m,3,2015,36,7
0.146021865,5,6,f,4,2012,46,9
-0.76521623,5,6,f,6,2015,33,9
0.517234283,4.5,5,m,7,2011,13,2
0.295246143,4,NA,.,NA,2007,NA,NA
0.877935534,7,5,f,4,2015,25,5
0.439261459,4,2,f,6,2014,22,7
0.362098604,4.5,6,f,7,2014,26,7
0.439329378,7,5,f,4,2013,NA,5
0.03513079,5,6,f,3,2015,40,9
0.75701303,5.5,6,m,5,2011,20,5
0.681440007,6,3,f,6,2012,19,5
0.523563686,7,6,m,4,2007,37,7
-0.196291661,4.5,2,f,4,2012,16,3
0.145090845,5,6,f,4,2014,48,7
0.37611795,4,6,f,4,2014,32,10
-0.168355639,4,6,f,7,2014,27,10
0.489702126,4,6,f,4,2014,17,3
0.587472451,4,8,f,NA,2012,27,6
0.302679237,5,6,f,6,2015,26,9
0.282247533,4,NA,f,4,2015,30,6
1.144695047,4,6,f,6,2015,63,7
0.807587171,6,5,f,7,2015,36,8
-0.203204932,5,3,f,NA,2015,16,3
0.116365564,5,6,f,4,2008,20,5
0.404216552,4,6,f,6,2009,24,10
0.337932741,4,9,f,4,2012,17,4
-0.007175902,3.5,6,f,7,2015,13,2
0.274749666,5,6,f,7,2013,21,5
0.28270341,6,6,m,4,2008,43,7
0.97175518,5,6,m,5,2009,31,9
0.900441278,4.5,6,f,4,2011,19,5
0.529833519,5.5,8,m,5,2014,29,9
-0.403676479,5,6,f,7,2015,32,10
0.493272274,5,6,f,5,2008,17,3
0.158152026,4,NA,f,7,2013,34,10
0.048269884,4.5,6,f,7,2012,34,8
0.22910652,4,9,m,7,2015,43,7
0.53283511,4,6,f,4,2007,21,5
0.542809304,5,6,f,4,2011,21,7
0.389067476,4.5,2,m,4,2012,20,5
0.781941302,5,6,f,6,2015,20,5
0.458401292,4,6,f,7,2014,62,7
0.566565994,6,5,f,4,2015,23,5
0.379793014,4.5,6,f,4,2011,15,3
0.297389276,6,6,f,4,2012,21,5
0.574662378,5,6,f,6,2014,31,9
0.482531816,6,6,m,5,2007,20,9
0.40947658,4,6,m,6,2014,32,10
-0.015930824,6,6,m,4,2015,21,5
0.477251215,5,NA,f,NA,2007,NA,NA
0.715195576,4.5,8,f,3,2014,18,5
0.440875748,4,6,f,5,2011,47,6
-0.688931736,4,6,f,3,2014,17,7
0.20019015,5,2,f,4,2008,33,9
0.402474676,4,6,f,6,2008,15,3
0.767602682,6,8,f,4,2011,17,3
0.136268883,5,6,f,3,2009,21,5
0.287332344,5.5,6,f,4,2015,20,5
0.420603205,5,6,f,1,2013,18,5
0.96960107,4,6,m,7,2009,16,3
0.588703126,5,2,m,7,2009,19,7
-0.316852619,4,2,f,5,2011,21,5
0.761606558,6,2,m,4,2013,18,3
0.413697299,5,6,m,7,2013,27,9
0.463383692,5,6,m,1,2012,16,3
0.320985463,4.5,9,m,4,2015,24,6
0.38079149,5,6,m,6,2009,28,9
0.54341919,6.5,2,f,6,2014,29,7
-0.080820093,6,6,m,2,2012,49,8
1.032623382,5.5,9,m,5,2014,28,5
0.434144056,4,6,f,4,2015,29,10
0.423814595,7,6,m,4,2012,21,5
0.214391691,4.5,6,f,5,2015,28,7
0.322154795,4,6,m,5,2014,48,7
0.162772958,4,6,f,4,2010,38,5
0.091694401,4,8,f,4,2008,13,2
0.381891165,5,6,f,3,2009,16,3
0.281002207,4,2,f,6,2014,18,7
1.22193414,5,6,f,4,2011,55,5
-0.024193909,5,6,f,4,2014,18,3
-0.21317242,3.5,6,m,2,2010,19,5
-0.211538931,4.5,6,f,4,2013,18,3
0.24011255,4.5,5,f,3,2013,17,5
1.053152194,5,6,m,4,2013,21,6
0.144629196,6,5,m,6,2009,61,10
0.448700882,4,6,f,3,2012,49,6
-0.388462554,3,6,f,3,2011,17,3
-0.11257374,5,6,f,5,2009,19,NA
0.361054121,4.5,6,f,4,2007,24,5
-0.09453267,4,6,m,7,2009,27,10
0.326620761,4,NA,f,4,2008,34,9
-0.548701645,4,3,f,7,2015,36,10
